,word,part_of_speech
0,shrouds,NOUN
1,headway,NOUN
2,olmstead,ADV
3,aged,VERB
4,greater,ADJ
5,surrounds,NOUN
6,plagues,VERB
7,soldier,NOUN
8,upharsin,ADV
9,bewitching,VERB
10,terraqueous,ADJ
11,subtle,ADJ
12,flat,ADJ
13,-,PUNCT
14,faced,ADJ
15,meal,NOUN
16,balls,NOUN
17,weigh,VERB
18,dazzling,VERB
19,supper,NOUN
20,publisher,NOUN
21,line,NOUN
22,-,PUNCT
23,tubs,NOUN
24,discerns,NOUN
25,abating,VERB
26,aye,PROPN
27,shaded,PROPN
28,jackasses,NOUN
29,sharpened,VERB
30,final,ADJ
31,platonian,ADJ
32,gentlemanlike,NOUN
33,har,PROPN
34,profundity,NOUN
35,cakes,NOUN
36,treated,VERB
37,overcome,VERB
38,fooling,VERB
39,scrutinizing,VERB
40,boon,NOUN
41,leper,NOUN
42,twigging,VERB
43,twigs,NOUN
44,hemp,ADJ
45,unset,VERB
46,thunderbolts,NOUN
47,ringing,VERB
48,showed,VERB
49,wealthy,ADJ
50,regards,VERB
51,barn,NOUN
52,scare,NOUN
53,dancing,NOUN
54,-,PUNCT
55,ape,NOUN
56,empty,ADJ
57,-,PUNCT
58,handedness,NOUN
59,preparations,NOUN
60,shine,VERB
61,fresher,ADJ
62,white,ADJ
63,-,PUNCT
64,bone,NOUN
65,witnessing,NOUN
66,stage,NOUN
67,-,PUNCT
68,driver,NOUN
69,uncapturable,ADJ
70,packet,NOUN
71,-,PUNCT
72,tracks,NOUN
73,robustness,ADJ
74,stare,ADJ
75,accordance,NOUN
76,heedfully,ADV
77,tingled,VERB
78,astonished,VERB
79,topmost,ADJ
80,deluge,NOUN
81,hoary,ADJ
82,guernsey,PROPN
83,-,PUNCT
84,man,NOUN
85,manoeuvred,VERB
86,exterminated,VERB
87,monument,NOUN
88,machines,PROPN
89,sack,VERB
90,odorous,ADJ
91,terrier,ADJ
92,rabbins,VERB
93,assuaging,VERB
94,oil,NOUN
95,-,PUNCT
96,ship,NOUN
97,soundings,NOUN
98,bildad,PROPN
99,hoisted,VERB
100,capitals,NOUN
101,coined,VERB
102,s.w.f,PROPN
103,131,NUM
104,.,PUNCT
105,fabled,ADJ
106,parchingly,ADV
107,all,ADV
108,-,PUNCT
109,quickening,VERB
110,usually,ADV
111,ideality,NOUN
112,outdone,VERB
113,grass,NOUN
114,inadequately,ADV
115,mode,NOUN
116,death,NOUN
117,-,PUNCT
118,temper,NOUN
